"","playerId","player","team","conference","category","statType","stat"
"70","385341","Nate Montana","Notre Dame","FBS Independents","passing","YDS","116"
"71","480250","Cierre Wood","Notre Dame","FBS Independents","kickReturns","LONG","41"
"72","385332","Jonas Gray","Notre Dame","FBS Independents","kickReturns","NO","1"
"73","379067","Michael Floyd","Notre Dame","FBS Independents","receiving","TD","12"
"74","385324","Dayne Crist","Notre Dame","FBS Independents","passing","COMPLETIONS","174"
"75","385332","Jonas Gray","Notre Dame","FBS Independents","rushing","TD","0"
"76","237402","Duval Kamara","Notre Dame","FBS Independents","receiving","LONG","26"
"77","385341","Nate Montana","Notre Dame","FBS Independents","rushing","TD","0"
"78","237399","Robert Hughes","Notre Dame","FBS Independents","rushing","YDS","300"
"79","500930","Harrison Smith","Notre Dame","FBS Independents","interceptions","INT","7"
"80","379067","Michael Floyd","Notre Dame","FBS Independents","rushing","LONG","9"
"81","483401","Ben Turk","Notre Dame","FBS Independents","punting","NO","68"
"82","385332","Jonas Gray","Notre Dame","FBS Independents","receiving","TD","0"
"83","483398","Nick Tausch","Notre Dame","FBS Independents","kicking","PTS","3"
"84","237416","Brian Smith","Notre Dame","FBS Independents","interceptions","TD","0"
"85","483393","Theo Riddick","Notre Dame","FBS Independents","receiving","YPR","10.4"
"86","189206","Darrin Walls","Notre Dame","FBS Independents","interceptions","INT","3"
"87","480250","Cierre Wood","Notre Dame","FBS Independents","kickReturns","AVG","20.0"
"88","483392","Zeke Motta","Notre Dame","FBS Independents","interceptions","YDS","0"
"89","389142","Armando Allen Jr.","Notre Dame","FBS Independents","passing","COMPLETIONS","1"
"90","231811","Gary Gray","Notre Dame","FBS Independents","interceptions","INT","1"
"91","483401","Ben Turk","Notre Dame","FBS Independents","punting","YPP","38.3"
"92","237399","Robert Hughes","Notre Dame","FBS Independents","rushing","YPC","4.4"
