"","season","team","conference","statName","statValue"
"121",2004,"Notre Dame","FBS Independents","rushingTDs",16
"122",2016,"Notre Dame","FBS Independents","penaltyYards",638
"123",2022,"Notre Dame","FBS Independents","possessionTime",25092
"124",2012,"Notre Dame","FBS Independents","puntReturnYards",46
"125",1917,"Notre Dame","FBS Independents","games",8
"126",2022,"Notre Dame","FBS Independents","penaltyYards",550
"127",2007,"Notre Dame","FBS Independents","fourthDownConversions",19
"128",2016,"Notre Dame","FBS Independents","interceptions",9
"129",2020,"Notre Dame","FBS Independents","kickReturnTDs",0
"130",2016,"Notre Dame","FBS Independents","passingTDs",27
"131",2022,"Notre Dame","FBS Independents","firstDowns",281
"132",1937,"Notre Dame","FBS Independents","games",9
"133",2023,"Notre Dame","FBS Independents","sacks",7
"134",2020,"Notre Dame","FBS Independents","kickReturns",23
"135",2017,"Notre Dame","FBS Independents","thirdDownConversions",84
"136",2015,"Notre Dame","FBS Independents","puntReturnYards",215
"137",1915,"Notre Dame","FBS Independents","games",8
"138",2021,"Notre Dame","FBS Independents","rushingTDs",23
"139",2010,"Notre Dame","FBS Independents","rushingTDs",11
"140",1921,"Notre Dame","FBS Independents","games",11
"141",2008,"Notre Dame","FBS Independents","turnovers",30
"142",2011,"Notre Dame","FBS Independents","puntReturnTDs",0
"143",2022,"Notre Dame","FBS Independents","puntReturnYards",286
"144",2023,"Notre Dame","FBS Independents","passesIntercepted",5
"145",2018,"Notre Dame","FBS Independents","interceptionTDs",0
"146",2023,"Notre Dame","FBS Independents","netPassingYards",1392
"147",2017,"Notre Dame","FBS Independents","puntReturns",24
"148",2013,"Notre Dame","FBS Independents","firstDowns",267
"149",2007,"Notre Dame","FBS Independents","passCompletions",217
"150",1916,"Notre Dame","FBS Independents","games",9
"151",2008,"Notre Dame","FBS Independents","fumblesLost",13
"152",2018,"Notre Dame","FBS Independents","fourthDownConversions",16
"153",2017,"Notre Dame","FBS Independents","netPassingYards",2327
"154",1961,"Notre Dame","FBS Independents","games",10
"155",2009,"Notre Dame","FBS Independents","firstDowns",293
"156",2021,"Notre Dame","FBS Independents","totalYards",5540
"157",2009,"Notre Dame","FBS Independents","rushingAttempts",401
"158",1902,"Notre Dame","FBS Independents","games",9
"159",1946,"Notre Dame","FBS Independents","games",9
"160",2008,"Notre Dame","FBS Independents","totalYards",4616
"161",2007,"Notre Dame","FBS Independents","puntReturnTDs",0
"162",2019,"Notre Dame","FBS Independents","passesIntercepted",9
"163",2004,"Notre Dame","FBS Independents","passingTDs",17
"164",2012,"Notre Dame","FBS Independents","interceptionYards",172
"165",2012,"Notre Dame","FBS Independents","interceptionTDs",0
"166",2016,"Notre Dame","FBS Independents","kickReturns",38
"167",2009,"Notre Dame","FBS Independents","turnovers",14
"168",2021,"Notre Dame","FBS Independents","interceptions",10
"169",1957,"Notre Dame","FBS Independents","games",10
"170",2007,"Notre Dame","FBS Independents","netPassingYards",2441
"171",2007,"Notre Dame","FBS Independents","passAttempts",389
"172",2004,"Notre Dame","FBS Independents","possessionTime",13609
"173",1966,"Notre Dame","FBS Independents","games",10
"174",2020,"Notre Dame","FBS Independents","games",12
"175",2009,"Notre Dame","FBS Independents","penaltyYards",646
"176",2009,"Notre Dame","FBS Independents","games",12
"177",2023,"Notre Dame","FBS Independents","penalties",27
"178",2017,"Notre Dame","FBS Independents","thirdDowns",192
"179",2021,"Notre Dame","FBS Independents","firstDowns",289
"180",2022,"Notre Dame","FBS Independents","kickReturnTDs",0
"181",2004,"Notre Dame","FBS Independents","passAttempts",362
"182",2019,"Notre Dame","FBS Independents","interceptionTDs",1
"183",2022,"Notre Dame","FBS Independents","passingTDs",25
"184",2020,"Notre Dame","FBS Independents","passAttempts",362
"185",2005,"Notre Dame","FBS Independents","puntReturnYards",396
"186",2019,"Notre Dame","FBS Independents","penaltyYards",665
"187",2003,"Notre Dame","FBS Independents","games",12
"188",2008,"Notre Dame","FBS Independents","penalties",69
"189",2009,"Notre Dame","FBS Independents","passesIntercepted",12
"190",1923,"Notre Dame","FBS Independents","games",10
"191",2017,"Notre Dame","FBS Independents","fumblesRecovered",10
"192",1975,"Notre Dame","FBS Independents","games",11
"193",1933,"Notre Dame","FBS Independents","games",9
"194",2021,"Notre Dame","FBS Independents","passingTDs",30
"195",2010,"Notre Dame","FBS Independents","kickReturns",49
"196",2016,"Notre Dame","FBS Independents","netPassingYards",3051
"197",2006,"Notre Dame","FBS Independents","fourthDowns",33
"198",2016,"Notre Dame","FBS Independents","firstDowns",254
"199",2014,"Notre Dame","FBS Independents","rushingYards",2073
"200",2012,"Notre Dame","FBS Independents","possessionTime",24716
"201",2019,"Notre Dame","FBS Independents","fourthDownConversions",17
"202",2010,"Notre Dame","FBS Independents","fourthDownConversions",5
"203",2018,"Notre Dame","FBS Independents","fourthDowns",25
"204",2004,"Notre Dame","FBS Independents","interceptions",10
"205",2014,"Notre Dame","FBS Independents","fourthDowns",16
"206",2015,"Notre Dame","FBS Independents","fourthDowns",8
"207",2023,"Notre Dame","FBS Independents","rushingTDs",10
"208",2004,"Notre Dame","FBS Independents","fumblesLost",6
"209",2020,"Notre Dame","FBS Independents","interceptionYards",68
"210",2009,"Notre Dame","FBS Independents","fumblesRecovered",7
"211",2004,"Notre Dame","FBS Independents","netPassingYards",2760
"212",2007,"Notre Dame","FBS Independents","interceptionYards",206
"213",1922,"Notre Dame","FBS Independents","games",10
"214",2018,"Notre Dame","FBS Independents","tacklesForLoss",67
"215",2014,"Notre Dame","FBS Independents","thirdDownConversions",90
"216",2015,"Notre Dame","FBS Independents","puntReturnTDs",2
"217",2005,"Notre Dame","FBS Independents","penaltyYards",0
"218",2023,"Notre Dame","FBS Independents","totalYards",2386
"219",2014,"Notre Dame","FBS Independents","fourthDownConversions",8
"220",2022,"Notre Dame","FBS Independents","penalties",60
"221",2006,"Notre Dame","FBS Independents","rushingYards",1634
"222",2023,"Notre Dame","FBS Independents","thirdDownConversions",29
"223",2004,"Notre Dame","FBS Independents","fourthDowns",15
"224",1979,"Notre Dame","FBS Independents","games",11
"225",2022,"Notre Dame","FBS Independents","netPassingYards",2693
"226",2009,"Notre Dame","FBS Independents","kickReturns",50
"227",2016,"Notre Dame","FBS Independents","interceptionTDs",0
"228",2022,"Notre Dame","FBS Independents","games",13
"229",2012,"Notre Dame","FBS Independents","penaltyYards",550
"230",2020,"Notre Dame","FBS Independents","penaltyYards",456
"231",2015,"Notre Dame","FBS Independents","fourthDownConversions",5
"232",2014,"Notre Dame","FBS Independents","passingTDs",30
"233",2012,"Notre Dame","FBS Independents","passingTDs",14
"234",2016,"Notre Dame","FBS Independents","passCompletions",224
"235",2012,"Notre Dame","FBS Independents","kickReturnTDs",0
"236",2005,"Notre Dame","FBS Independents","fourthDownConversions",8
"237",2019,"Notre Dame","FBS Independents","rushingAttempts",472
"238",2006,"Notre Dame","FBS Independents","penaltyYards",695
"239",2014,"Notre Dame","FBS Independents","totalYards",5784
"240",1976,"Notre Dame","FBS Independents","games",12
"241",2013,"Notre Dame","FBS Independents","rushingAttempts",440
"242",2005,"Notre Dame","FBS Independents","rushingAttempts",491
"243",2015,"Notre Dame","FBS Independents","firstDowns",292
"244",2020,"Notre Dame","FBS Independents","sacks",29
"245",2021,"Notre Dame","FBS Independents","sacks",41
"246",2011,"Notre Dame","FBS Independents","fourthDowns",7
"247",2007,"Notre Dame","FBS Independents","passingTDs",12
"248",2013,"Notre Dame","FBS Independents","passAttempts",429
"249",2023,"Notre Dame","FBS Independents","passingTDs",16
"250",2016,"Notre Dame","FBS Independents","possessionTime",20830
"251",2018,"Notre Dame","FBS Independents","interceptionYards",159
"252",1929,"Notre Dame","FBS Independents","games",9
"253",2005,"Notre Dame","FBS Independents","totalYards",5728
"254",2011,"Notre Dame","FBS Independents","passingTDs",21
"255",2009,"Notre Dame","FBS Independents","puntReturnYards",232
"256",2017,"Notre Dame","FBS Independents","interceptions",10
"257",2007,"Notre Dame","FBS Independents","penalties",77
"258",2007,"Notre Dame","FBS Independents","games",12
"259",2012,"Notre Dame","FBS Independents","kickReturns",30
"260",2017,"Notre Dame","FBS Independents","fourthDownConversions",10
"261",2014,"Notre Dame","FBS Independents","firstDowns",309
"262",2022,"Notre Dame","FBS Independents","fourthDownConversions",7
"263",2008,"Notre Dame","FBS Independents","puntReturns",48
"264",2016,"Notre Dame","FBS Independents","passesIntercepted",8
"265",2009,"Notre Dame","FBS Independents","passingTDs",30
"266",2013,"Notre Dame","FBS Independents","passingTDs",27
"267",2019,"Notre Dame","FBS Independents","fumblesRecovered",27
"268",1991,"Notre Dame","FBS Independents","games",13
"269",2020,"Notre Dame","FBS Independents","interceptionTDs",0
"270",2023,"Notre Dame","FBS Independents","possessionTime",9535
"271",2022,"Notre Dame","FBS Independents","tacklesForLoss",78
"272",2022,"Notre Dame","FBS Independents","kickReturns",18
"273",2006,"Notre Dame","FBS Independents","interceptions",7
"274",2018,"Notre Dame","FBS Independents","passesIntercepted",12
"275",2014,"Notre Dame","FBS Independents","fumblesRecovered",7
"276",1919,"Notre Dame","FBS Independents","games",9
"277",2010,"Notre Dame","FBS Independents","passCompletions",285
"278",2010,"Notre Dame","FBS Independents","netPassingYards",3402
"279",2012,"Notre Dame","FBS Independents","fourthDownConversions",3
"280",2010,"Notre Dame","FBS Independents","games",13
"281",2009,"Notre Dame","FBS Independents","possessionTime",14053
"282",2005,"Notre Dame","FBS Independents","thirdDownConversions",86
"283",2012,"Notre Dame","FBS Independents","passesIntercepted",16
