"","collegeAthleteId","nflAthleteId","collegeId","collegeTeam","collegeConference","nflTeam","year","overall","round","pick","name","position","height","weight","preDraftRanking","preDraftPositionRanking","preDraftGrade","hometownInfo.city","hometownInfo.state","hometownInfo.country","hometownInfo.latitude","hometownInfo.longitude","hometownInfo.countyFips"
"146",NA,18108,87,"Notre Dame","FBS Independents","Atlanta",1981,109,4,26,"John Scully","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",NA,20115,87,"Notre Dame","FBS Independents","Las Vegas",1987,110,4,26,"Steve Beuerlein","Quarterback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",NA,15849,87,"Notre Dame","FBS Independents","Los Angeles",1975,111,5,7,"Kevin Nosbusch","Defensive Tackle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",NA,17113,87,"Notre Dame","FBS Independents","Miami",1978,111,5,1,"Ted Burgmeier","Defensive Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",4046679,104171,87,"Notre Dame","FBS Independents","Carolina",2020,113,4,7,"Troy Pride Jr.","Cornerback",72,193,103,13,69,"Greer","SC","USA","34.9381361","-82.2272119","45045"
"151",NA,18779,87,"Notre Dame","FBS Independents","Tennessee",1983,114,5,2,"Larry Moriarty","Running Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",2184340,24562,87,"Notre Dame","FBS Independents","Denver",2009,114,4,14,"David Bruton","Safety",74,219,184,13,51,NA,NA,NA,NA,NA,NA
"153",NA,15852,87,"Notre Dame","FBS Independents","San Francisco",1975,114,5,10,"Wayne Bullock","Running Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",NA,12741,87,"Notre Dame","FBS Independents","New England",1968,116,5,5,"Jim Smithberger","Defensive Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",2027840,114,87,"Notre Dame","FBS Independents","New England",2001,119,4,24,"Jabari Holloway","Tight End",NA,255,NA,NA,NA,NA,NA,NA,NA,NA,NA
